id,event_type,latitude,longitude,endlatitude,endlongitude,address,end_address,event_cause,requires_road_closure,start_datetime,end_datetime,status,authenticated,modified_datetime,direction,description,veh_type,veh_no,corridor,priority,cargo_material,reason_breakdown,age_of_truck,created_date,route_path,client_id,created_by_id,last_modified_by_id,assigned_to_police_id,citizen_accident_id,police_station,kgid,resolved_at_address,resolved_at_latitude,resolved_at_longitude,closed_by_id,closed_datetime,resolved_by_id,resolved_datetime,gba_identifier,zone,junction,priority_binary,resolution_minutes,hour,day_of_week,month,is_weekend,is_peak,event_cause_grouped,cause_peak_interaction,corridor_grouped,veh_type_clean,description_clean,geo_bin,geo_density,corridor_incident_count,corridor_closure_rate,corridor_high_priority_rate,hotspot_cluster
FKID000010,unplanned,13.0008457,77.6813712,0.0,0.0,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",,water_logging,0,2024-03-07 18:01:40.182000+00:00,,closed,yes,2024-03-14 05:49:58.161494+00:00,,woter logging [PERSON] moment ph [PHONE],,,ORR East 2,High,,,,2024-03-07 18:02:16.983926+00:00,,1,FKUSR00011,FKUSR00001,,,K.R. Pura,FKKG000007,,,,FKUSR00011,2024-03-14 05:49:58.160945+00:00,,,,,,1,9348.299649083334,18,3,3,0,1,water_logging,water_logging_1,ORR East 2,unknown,woter logging [person] moment ph [phone],13.001_77.681,3,187,0.016042780748663103,1.0,0
FKID000011,unplanned,12.94457,77.5274017,0.0,0.0,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",,vehicle_breakdown,0,2024-01-30 05:21:06.975000+00:00,,closed,yes,2024-01-30 07:35:47.951007+00:00,,,private_car,FKN00GL0005,ORR West 1,High,,,,2024-01-30 05:21:50.591304+00:00,,1,FKUSR00012,FKUSR00001,,,Byatarayanapura,FKKG000008,,,,,,,,,,MysoreRd-RingRdJunc(Nayandanahallii),1,,5,1,1,0,0,vehicle_breakdown,vehicle_breakdown_0,ORR West 1,private_car,none,12.945_77.527,3,168,0.02976190476190476,1.0,0
FKID000012,unplanned,12.9995223,77.6827499,0.0,0.0,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",,water_logging,0,2024-03-07 18:00:05.020000+00:00,,active,yes,2024-03-07 19:34:17.374582+00:00,,lorry undar pass woter logging trafick swol moment ph [PHONE],,,ORR East 2,High,,,,2024-03-07 18:00:57.261528+00:00,,1,FKUSR00011,FKUSR00001,,,Mahadevapura,FKKG000007,,,,,,,,,,,1,,18,3,3,0,1,water_logging,water_logging_1,ORR East 2,unknown,lorry undar pass woter logging trafick swol moment ph [phone],13.0_77.683,1,187,0.016042780748663103,1.0,0
FKID000013,unplanned,13.0418933,77.594705,0.0,0.0,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",,others,0,2023-12-26 19:15:28.124000+00:00,,closed,yes,2024-03-07 19:10:20.403420+00:00,,Starting problem,,,ORR North 1,High,,,,2023-12-26 19:16:09.549364+00:00,,1,FKUSR00013,FKUSR00001,,,Hebbala,FKKG000009,,,,FKUSR00013,2024-03-07 19:10:20.402869+00:00,,,Bengaluru North Corporation,North Zone 1,HebbalFlyoverJunc,1,,19,1,12,0,1,others,others_1,ORR North 1,unknown,starting problem,13.042_77.595,2,275,0.08,1.0,0
FKID000014,unplanned,12.975285,77.6256902,0.0,0.0,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",,pot_holes,0,2024-03-07 19:26:15.604000+00:00,,active,yes,2024-03-07 19:32:11.890707+00:00,,traffic slow moving and accident happening,,,Old Madras Road,High,,,,2024-03-07 19:28:21.681907+00:00,,1,FKUSR00014,FKUSR00001,,,Halasur,FKKG000010,,,,,,,,,,,1,,19,3,3,0,1,pot_holes,pot_holes_1,Old Madras Road,unknown,traffic slow moving and accident happening,12.975_77.626,7,263,0.045627376425855515,1.0,0
FKID000015,unplanned,13.0633917,77.5933483,0.0,0.0,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,others,0,2024-03-07 19:10:21.930000+00:00,,active,yes,2024-03-07 19:11:49.766858+00:00,,ಟೈರ್ ಪಂಚರ್,,,Bellary Road 2,High,,,,2024-03-07 19:11:02.983156+00:00,,1,FKUSR00013,FKUSR00001,,,Kodigehalli,FKKG000009,,,,,,,,,,,1,,19,3,3,0,1,others,others_1,Bellary Road 2,unknown,ಟೈರ್ ಪಂಚರ್,13.063_77.593,3,379,0.0316622691292876,1.0,0
FKID000016,unplanned,13.063425,77.5933,0.0,0.0,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",,others,0,2024-03-07 19:11:15.565000+00:00,,active,yes,2024-03-07 19:16:44.728097+00:00,,tyear blost,,,Bellary Road 2,High,,,,2024-03-07 19:11:57.171334+00:00,,1,FKUSR00013,FKUSR00001,,,Kodigehalli,FKKG000009,,,,,,,,,,,1,,19,3,3,0,1,others,others_1,Bellary Road 2,unknown,tyear blost,13.063_77.593,3,379,0.0316622691292876,1.0,0
FKID000017,unplanned,13.0254527,77.6417388,0.0,0.0,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",,others,0,2024-03-07 19:18:29.890000+00:00,,active,yes,2024-03-07 19:28:56.872687+00:00,,[LOCATION] parked at ring road sir traffic little bit slow sir,,,ORR North 1,High,,,,2024-03-07 19:20:02.091296+00:00,,1,FKUSR00015,FKUSR00001,,,Hennuru,FKKG000011,,,,,,,,,,,1,,19,3,3,0,1,others,others_1,ORR North 1,unknown,[location] parked at ring road sir traffic little bit slow sir,13.025_77.642,1,275,0.08,1.0,0
FKID000018,unplanned,12.9233517,77.5904883,0.0,0.0,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",,tree_fall,0,2024-03-07 19:39:29.764000+00:00,,closed,yes,2024-03-08 00:32:50.465117+00:00,,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,,,Non-corridor,Low,,,,2024-03-07 19:44:04.840279+00:00,,1,FKUSR00016,FKUSR00001,,,Jayanagara,FKKG000012,,,,FKUSR00016,2024-03-08 00:32:50.464450+00:00,,,,,,0,293.3450075,19,3,3,0,1,tree_fall,tree_fall_1,Non-corridor,unknown,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,12.923_77.59,2,3124,0.12099871959026888,0.0,0
FKID000019,unplanned,13.0001393,77.5840594,0.0,0.0,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",,vehicle_breakdown,0,2024-01-30 04:49:17.231000+00:00,,closed,yes,2024-01-30 07:35:47.924053+00:00,,KSRTC bus mechanic [PERSON] sir that's why vehicle not moving,ksrtc_bus,FKN00GL0006,Bellary Road 1,High,,,,2024-01-30 04:51:12.899255+00:00,,1,FKUSR00017,FKUSR00001,,,Sadashivanagar,FKKG000013,,,,,,,,,,,1,,4,1,1,0,0,vehicle_breakdown,vehicle_breakdown_0,Bellary Road 1,ksrtc_bus,ksrtc bus mechanic [person] sir that's why vehicle not moving,13.0_77.584,19,610,0.054098360655737705,1.0,0
FKID000020,unplanned,12.9071221,77.6286395,0.0,0.0,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",,vehicle_breakdown,0,2024-03-07 19:25:04.302000+00:00,,closed,no,2024-03-07 19:52:19.227656+00:00,,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,FKN00GL0007,Hosur Road,High,,,,2024-03-07 19:27:14.960257+00:00,,1,FKUSR00018,FKUSR00001,,,Madiwala,FKKG000014,,,,FKUSR00018,2024-03-07 19:52:19.227138+00:00,,,,,,1,27.2487523,19,3,3,0,1,vehicle_breakdown,vehicle_breakdown_1,Hosur Road,heavy_vehicle,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,12.907_77.629,9,298,0.05704697986577181,1.0,0
FKID000021,unplanned,12.927375,77.5806883,12.9273528,77.580685,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)","5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,1,2024-03-07 19:45:16.034000+00:00,,closed,yes,2024-03-09 20:33:47.283363+00:00,,,,,Non-corridor,Low,,,,2024-03-07 19:47:58.459881+00:00,,1,FKUSR00019,FKUSR00001,,,Jayanagara,FKKG000015,,,,FKUSR00019,2024-03-09 20:33:47.282786+00:00,,,,,,0,2928.5208131000004,19,3,3,0,1,tree_fall,tree_fall_1,Non-corridor,unknown,none,12.927_77.581,2,3124,0.12099871959026888,0.0,0
FKID000022,unplanned,12.9169074,77.5950955,0.0,0.0,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",,pot_holes,0,2024-01-05 22:35:41.185000+00:00,,closed,yes,2024-03-07 19:48:05.331866+00:00,,,,,Non-corridor,Low,,,,2024-01-05 22:36:57.627179+00:00,,1,FKUSR00019,FKUSR00001,,,Jayanagara,FKKG000015,,,,FKUSR00019,2024-03-07 19:48:05.331210+00:00,,,Bengaluru South Corporation,South Zone 1,28thMainJayanagarJunc,0,,22,4,1,0,0,pot_holes,pot_holes_0,Non-corridor,unknown,none,12.917_77.595,10,3124,0.12099871959026888,0.0,0
FKID000023,unplanned,12.9667047,77.6615983,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,0,2024-01-30 08:32:47.117000+00:00,,active,yes,2024-01-30 08:47:37.169905+00:00,,A,,,,Low,,,,2024-01-30 08:33:47.540206+00:00,,1,FKUSR00020,FKUSR00001,,,Jeevanbheemanagar,FKKG000016,,,,,,,,,,,0,,8,1,1,0,1,pot_holes,pot_holes_1,Unknown,unknown,a,12.967_77.662,5,20,0.0,0.35,2
FKID000024,unplanned,12.8966387,77.7202071,0.0,0.0,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",,water_logging,0,2024-03-07 19:55:24.461000+00:00,,active,yes,2024-03-07 20:06:27.230358+00:00,,water logging with drainage leakage near [LOCATION] bus stop [LOCATION] road.,,,Non-corridor,Low,,,,2024-03-07 19:59:11.246383+00:00,,1,FKUSR00021,FKUSR00001,,,Whitefield,FKKG000017,,,,,,,,,,,0,,19,3,3,0,1,water_logging,water_logging_1,Non-corridor,unknown,water logging with drainage leakage near [location] bus stop [location] road.,12.897_77.72,2,3124,0.12099871959026888,0.0,-1
FKID000025,unplanned,12.9463911,77.597326,12.9465181,77.5973857,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)","12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,1,2024-03-07 06:09:19.361000+00:00,,closed,no,2024-03-07 20:12:38.803050+00:00,,no,,,Non-corridor,Low,,,,2024-03-07 06:10:16.176379+00:00,,1,FKUSR00022,FKUSR00001,,,Wilson Garden,FKKG000018,,,,FKUSR00022,2024-03-07 20:12:38.802518+00:00,,,,,,0,843.3240253,6,3,3,0,0,tree_fall,tree_fall_0,Non-corridor,unknown,no,12.946_77.597,2,3124,0.12099871959026888,0.0,0
FKID000026,unplanned,12.9856042,77.5977438,0.0,0.0,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,pot_holes,0,2024-01-30 08:35:04.399000+00:00,,active,yes,2024-01-30 08:46:04.959405+00:00,,Chamber hole,,,,High,,,,2024-01-30 08:35:50.025285+00:00,,1,FKUSR00023,FKUSR00001,,,Shivajinagar,FKKG000019,,,,,,,,,,,1,,8,1,1,0,1,pot_holes,pot_holes_1,Unknown,unknown,chamber hole,12.986_77.598,4,20,0.0,0.35,0
FKID000027,unplanned,12.9077383,77.6005709,0.0,0.0,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",,vehicle_breakdown,0,2024-01-30 08:12:47.138000+00:00,,closed,yes,2024-01-30 10:35:47.849552+00:00,,Bmtc bus offload due to gear box problem,bmtc_bus,FKN00GL0008,Bannerghata Road,High,,,,2024-01-30 08:14:16.420314+00:00,,1,FKUSR00024,FKUSR00001,,,Mico Layout,FKKG000020,,,,,,,,,,,1,,8,1,1,0,1,vehicle_breakdown,vehicle_breakdown_1,Bannerghata Road,bmtc_bus,bmtc bus offload due to gear box problem,12.908_77.601,2,209,0.03349282296650718,1.0,0
FKID000028,unplanned,12.9635109,77.6642122,0.0,0.0,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",,pot_holes,0,2024-01-30 08:25:57.212000+00:00,,closed,yes,2024-01-30 08:35:01.999200+00:00,,A,,,,Low,,,,2024-01-30 08:28:51.106311+00:00,,1,FKUSR00020,FKUSR00001,,,HAL Old Airport,FKKG000016,,,,FKUSR00020,2024-01-30 08:35:01.998607+00:00,,,,,,0,9.079776783333333,8,1,1,0,1,pot_holes,pot_holes_1,Unknown,unknown,a,12.964_77.664,1,20,0.0,0.35,2
FKID000029,unplanned,12.9667073,77.6615616,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,0,2024-01-30 08:31:37.367000+00:00,,active,yes,2024-01-30 08:33:45.400802+00:00,,A,,,,Low,,,,2024-01-30 08:32:13.484988+00:00,,1,FKUSR00020,FKUSR00001,,,Jeevanbheemanagar,FKKG000016,,,,,,,,,,,0,,8,1,1,0,1,pot_holes,pot_holes_1,Unknown,unknown,a,12.967_77.662,5,20,0.0,0.35,2
FKID000030,unplanned,12.9666867,77.6616478,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",,pot_holes,0,2024-01-30 08:33:55.212000+00:00,,active,yes,2024-01-30 08:47:01.481646+00:00,,,,,Non-corridor,Low,,,,2024-01-30 08:34:48.349991+00:00,,1,FKUSR00020,FKUSR00001,,,Jeevanbheemanagar,FKKG000016,,,,,,,,,,,0,,8,1,1,0,1,pot_holes,pot_holes_1,Non-corridor,unknown,none,12.967_77.662,5,3124,0.12099871959026888,0.0,2
FKID000031,unplanned,12.907814,77.6006561,12.9075245,77.6003865,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)","Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,1,2024-01-30 08:08:05.581000+00:00,,closed,yes,2024-01-30 10:35:47.874570+00:00,,GD mara to [PERSON],bmtc_bus,FKN00GL0009,Bannerghata Road,High,,,,2024-01-30 08:11:01.608180+00:00,,1,FKUSR00024,FKUSR00001,,,Mico Layout,FKKG000020,,,,,,,,,,,1,,8,1,1,0,1,vehicle_breakdown,vehicle_breakdown_1,Bannerghata Road,bmtc_bus,gd mara to [person],12.908_77.601,2,209,0.03349282296650718,1.0,0
FKID000032,unplanned,12.8955737,77.5993711,0.0,0.0,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",,vehicle_breakdown,0,2024-01-30 05:43:18.534000+00:00,,closed,yes,2024-01-30 08:35:47.752866+00:00,,Near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,lcv,FKN00GL0010,Bannerghata Road,High,,,,2024-01-30 05:44:59.860926+00:00,,1,FKUSR00025,FKUSR00001,,,J.P. Nagar,FKKG000021,,,,,,,,,,,1,,5,1,1,0,0,vehicle_breakdown,vehicle_breakdown_0,Bannerghata Road,lcv,near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,12.896_77.599,1,209,0.03349282296650718,1.0,0
FKID000033,unplanned,12.92757,77.5832051,0.0,0.0,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",,tree_fall,0,2024-03-07 20:06:03.523000+00:00,,closed,yes,2024-03-09 20:33:44.935916+00:00,,,,,Non-corridor,Low,,,,2024-03-07 20:06:37.915099+00:00,,1,FKUSR00019,FKUSR00001,,,Jayanagara,FKKG000015,,,,FKUSR00019,2024-03-09 20:33:44.935343+00:00,,,,,,0,2907.6902057166667,20,3,3,0,0,tree_fall,tree_fall_0,Non-corridor,unknown,none,12.928_77.583,1,3124,0.12099871959026888,0.0,0
